latitude,longitude,blkNo,street,town,roomSold1,roomSold2,roomSold3,roomSold4,roomSold5,execSold,multigenSold,studioApartmentSold,roomRental1,roomRental2,roomRental3,roomRentalOther,region,totalSold,totalRent
1.2949687,103.8544852,1,BEACH RD,KWN,0,1,138,1,2,0,0,0,0,0,0,0,central,142,0
1.3177824,103.932945,1,BEDOK STH AVE 1,BD,0,0,204,0,2,0,0,0,0,0,0,0,east,206,0
1.3280646,103.9225418,1,CHAI CHEE RD,BD,0,0,0,10,92,0,0,0,0,0,0,0,east,102,0
1.3884846,103.9878738,1,CHANGI VILLAGE RD,PRC,0,0,54,0,1,0,0,0,0,0,0,0,east,55,0
1.2921357,103.8285547,1,DELTA AVE,BM,0,0,0,0,96,0,0,0,0,0,0,0,central,96,0
1.3025543,103.7833667,1,DOVER RD,QT,0,0,118,0,7,0,0,0,0,0,0,0,central,125,0
1.3208323,103.9024815,1,EUNOS CRES,GL,0,0,0,0,0,0,0,0,0,247,0,0,central,0,247
1.2774492,103.8400579,1,EVERTON PK,BM,0,0,62,0,33,0,0,0,0,0,0,0,central,95,0
1.3129253,103.7868073,1,GHIM MOH RD,QT,0,0,216,0,4,0,0,0,0,0,0,0,central,220,0
1.3112025,103.8976789,1,HAIG RD,GL,0,0,214,0,5,0,0,0,0,0,0,0,central,219,0
1.309137,103.7968581,1,HOLLAND CL,QT,0,0,0,0,0,0,0,0,319,0,0,0,central,0,319
1.3641651,103.8929442,1,HOUGANG AVE 3,HG,0,0,200,0,4,0,0,0,0,0,0,0,northeast,204,0
1.2865434,103.8083586,1,JLN BT MERAH,BM,0,0,244,0,0,0,0,0,0,0,0,0,central,244,0
1.2883777,103.8399942,1,JLN KUKOH,CT,0,0,0,0,0,0,0,0,0,56,14,14,central,0,84
1.3036012,103.883815,1,KG KAYU RD,KWN,0,0,106,1,0,0,0,0,0,0,0,0,central,107,0
1.350781,103.8752945,1,LOR LEW LIAN,SGN,0,0,176,0,3,0,0,0,0,0,0,0,northeast,179,0
1.339338,103.853378,1,LOR 7 TOA PAYOH,TP,0,0,196,0,1,0,0,0,0,0,0,0,central,197,0
1.3048678,103.9186134,1,MARINE TER,MP,0,0,0,0,96,0,0,0,0,0,0,0,central,96,0
1.4406998,103.7765983,1,MARSILING DR,WL,0,0,158,0,1,0,0,0,0,0,0,0,north,159,0
1.3076734,103.8590139,1,MAUDE RD,KWN,0,0,0,0,0,0,0,0,0,176,0,0,central,0,176
1.3079191,103.8832694,1,PINE CL,GL,0,0,0,100,56,0,0,0,0,0,0,0,central,156,0
1.317859,103.8073624,1,QUEEN'S RD,BT,0,0,0,0,88,0,0,0,0,0,0,0,central,88,0
1.2843266,103.8178083,1,REDHILL CL,BM,0,0,40,1,0,0,0,0,0,0,0,0,central,41,0
1.3234236,103.8616403,1,ST. GEORGE'S RD,KWN,0,0,0,154,0,0,0,0,0,0,0,0,central,154,0
1.3825654,103.7517712,1,TECK WHYE AVE,CCK,0,0,68,48,0,2,0,0,0,0,0,0,west,118,0
1.2795459,103.8179657,1,TELOK BLANGAH CRES,BM,0,0,146,0,2,0,0,0,0,0,0,0,central,148,0
1.2748632,103.8426344,1,TG PAGAR PLAZA,CT,0,0,158,0,5,0,0,0,0,0,0,0,central,163,0
1.3253453,103.84232,1,THOMSON RD,KWN,0,0,0,0,0,0,0,0,0,0,8,0,central,0,8
1.3395672,103.7747655,1,TOH YI DR,BT,0,0,0,72,60,0,0,0,0,0,0,0,central,132,0
1.277898,103.840963,1A,CANTONMENT RD,CT,0,0,0,176,88,0,0,0,0,0,0,0,central,264,0
1.3213431,103.9027526,1A,EUNOS CRES,GL,0,0,0,0,0,0,0,0,0,0,2,0,central,0,2
1.27799,103.84122,1B,CANTONMENT RD,CT,0,0,0,176,88,0,0,0,0,0,0,0,central,264,0
1.2774176,103.8414964,1C,CANTONMENT RD,CT,0,0,0,176,88,0,0,0,0,0,0,0,central,264,0
1.276945,103.841487,1D,CANTONMENT RD,CT,0,0,0,176,88,0,0,0,0,0,0,0,central,264,0
1.276639,103.8411519,1E,CANTONMENT RD,CT,0,0,0,176,88,0,0,0,0,0,0,0,central,264,0
1.2761355,103.841191,1F,CANTONMENT RD,CT,0,0,0,176,88,0,0,0,0,0,0,0,central,264,0
1.2755784,103.8412807,1G,CANTONMENT RD,CT,0,0,0,176,88,0,0,0,0,0,0,0,central,264,0
1.3270163,103.9244409,10,CHAI CHEE RD,BD,0,0,0,56,28,0,0,0,0,0,0,0,east,84,0
1.306359,103.8844237,10,DAKOTA CRES,GL,0,0,0,0,0,0,0,0,0,0,53,0,central,0,53
1.3223009,103.9025671,10,EUNOS CRES,GL,0,0,0,180,0,0,0,0,0,0,0,0,central,180,0
1.3139654,103.8521735,10,GLOUCESTER RD,KWN,0,0,180,26,1,0,0,0,0,0,0,0,central,207,0
1.3147479,103.8958407,10,HAIG RD,GL,0,0,133,0,0,0,0,0,0,0,0,0,central,133,0
1.3082166,103.7942256,10,HOLLAND AVE,QT,0,0,0,101,0,0,0,0,0,0,0,0,central,101,0
1.288325,103.8084056,10,JLN RUMAH TINGGI,BM,0,0,20,8,0,0,0,0,0,0,0,0,central,28,0
1.2875052,103.8328117,10,JLN BT HO SWEE,BM,0,50,0,0,0,0,0,0,0,70,0,0,central,50,70
1.3020705,103.882909,10,JLN BATU,KWN,0,0,0,8,97,27,0,0,0,0,0,0,central,132,0
1.2869588,103.8390615,10,JLN KUKOH,CT,0,72,16,4,0,0,0,0,0,0,0,0,central,92,0
1.3346786,103.880205,10,JOO SENG RD,TP,0,0,0,0,76,0,0,0,0,0,0,0,central,76,0
1.3371227,103.8571807,10,LOR 7 TOA PAYOH,TP,0,0,0,68,28,0,0,0,0,0,0,0,central,96,0
1.440805,103.777276,10,MARSILING DR,WL,0,0,0,0,84,0,0,0,0,0,0,0,north,84,0
