town,flatType,price
AMK,5-room,614000
BB,3-room,250000
BB,4-room,355000
BB,5-room,500000
BB,exec,585000
BD,3-room,275000
BD,4-room,380000
BD,5-room,565000
BD,exec,724000
BH,3-room,335000
BH,4-room,558000
BH,5-room,738400
BH,exec,695000
BM,3-room,310000
BM,4-room,684000
BM,5-room,783500
BP,3-room,301000
BP,4-room,402500
BP,5-room,500000
BP,exec,621500
CCK,3-room,295000
CCK,4-room,335900
CCK,5-room,416500
CCK,exec,540000
CL,3-room,299000
CL,4-room,655000
CL,5-room,635500
CT,3-room,410000
CT,4-room,665000
CT,5-room,436000
GL,3-room,256500
GL,4-room,445500
GL,5-room,640000
HG,3-room,280000
HG,4-room,388000
HG,5-room,489000
HG,exec,665000
JE,3-room,265800
JE,4-room,367500
JE,5-room,512500
JE,exec,580000
JW,3-room,246900
JW,4-room,350000
JW,5-room,439000
JW,exec,530000
KWN,3-room,317500
KWN,4-room,610000
KWN,5-room,725000
MP,3-room,347500
MP,4-room,360000
MP,5-room,620000
PG,3-room,358000
PG,4-room,463900
PG,5-room,472500
PG,exec,545000
PRC,3-room,177000
PRC,4-room,420000
PRC,5-room,500000
PRC,exec,635000
QT,2-room,205500
QT,3-room,316500
QT,4-room,750000
QT,5-room,832500
SB,4-room,347500
SB,5-room,402000
SB,exec,470000
SGN,3-room,300000
SGN,4-room,440000
SGN,5-room,548000
SGN,exec,700000
SK,3-room,339000
SK,4-room,425000
SK,5-room,478000
SK,exec,575000
TAP,3-room,326500
TAP,4-room,430000
TAP,5-room,530000
TAP,exec,675000
TP,2-room,136000
TP,3-room,262500
TP,4-room,505700
TP,5-room,738000
TP,exec,445000
WL,3-room,240000
WL,4-room,330000
WL,5-room,398000
WL,exec,550000
YS,3-room,265000
YS,4-room,370000
YS,5-room,470000
YS,exec,565000
